title,scorr,genre,running time,actors
The Gallows (2015),30,Horror/Thriller,81 min,Reese Mishler/Pfeifer Brown/Ryan Shoos/Cassidy Gifford
Self/less (2015),34,Action/Drama/Mystery/Sci-Fi/Thriller,117 min,Ryan Reynolds/Natalie Martinez/Matthew Goode/Ben Kingsley
Boulevard (2014),52,Drama,88 min,Robin Williams/Roberto Aguire/Kathy Baker/Bob Odenkirk
Do I Sound Gay? (2014),65,Documentary,77 min,David Thorpe/George Takei/Tim Gunn/David Sedaris
Tangerine (2015),85,Comedy/Drama,88 min,Kitana Kiki Rodriguez/Mya Taylor/Karren Karagulian/Mickey O'Hagan
Nowitzki: Der perfekte Wurf (2014),,Documentary/Biography/Sport,105 min,Dirk Nowitzki/Holger Geschwindner/Kobe Bryant/Rick Carlisle
Meet Me in Montenegro (2014),51,Comedy/Drama/Romance,90 min,Alex Holdridge/Linnea Saasen/Rupert Friend/Jennifer Ulrich
Ant-Man (2015),64,Action/Adventure/Sci-Fi,117 min,Paul Rudd/Michael Douglas/Corey Stoll/Evangeline Lilly
Trainwreck (2015),75,Comedy/Romance,125 min,Amy Schumer/Bill Hader/Brie Larson/Colin Quinn
Irrational Man (2015),53,Drama/Mystery,95 min,Joaquin Phoenix/Emma Stone/Parker Posey/Joe Stapleton
The Look of Silence (2014),92,Documentary,103 min,Adi Rukun/M.Y. Basrun/Amir Hasan/Inong
Mr. Holmes (2015),67,Drama/Mystery,104 min,Ian McKellen/Laura Linney/Hiroyuki Sanada/Hattie Morahan
The Stanford Prison Experiment (2015),67,Biography/Drama/History/Thriller,122 min,Ezra Miller/Tye Sheridan/Billy Crudup/Olivia Thirlby
Lila & Eve (2015),45,Action/Crime/Drama/Thriller,94 min,Jennifer Lopez/Viola Davis/Shea Whigham/Andre Royo
Pixels (2015),27,Action/Comedy/Sci-Fi,106 min,Adam Sandler/Kevin James/Michelle Monaghan/Peter Dinklage
Paper Towns (2015),56,Drama/Mystery/Romance,109 min,Nat Wolff/Cara Delevingne/Austin Abrams/Justice Smith
Southpaw (2015),57,Action/Drama/Sport,124 min,Jake Gyllenhaal/Rachel McAdams/Oona Laurence/Forest Whitaker
The Vatican Tapes (2015),37,Horror/Thriller,91 min,Olivia Taylor Dudley/Michael Peña/Dougray Scott/Djimon Hounsou
Samba (2014),53,Comedy/Drama,118 min,Omar Sy/Charlotte Gainsbourg/Tahar Rahim/Izïa Higelin
Unexpected (2015),65,Comedy/Drama,90 min,Cobie Smulders/Anders Holm/Gail Bean/Elizabeth McGovern
Big Significant Things (2014),36,Comedy/Drama,85 min,Harry Lloyd/Krista Kosonen/Sylvia Grace Crim/James Ricker II
Phoenix (2014),89,Drama,98 min,Nina Hoss/Ronald Zehrfeld/Nina Kunzendorf/Trystan Pütter
Mission: Impossible - Rogue Nation (2015),75,Action/Adventure/Thriller,131 min,Tom Cruise/Rebecca Ferguson/Jeremy Renner/Simon Pegg
Vacation (2015),34,Adventure/Comedy,99 min,Ed Helms/Christina Applegate/Skyler Gisondo/Steele Stebbins
Best of Enemies (2015),77,Documentary/History/News,87 min,Gore Vidal/William F. Buckley/Dick Cavett/Noam Chomsky
The End of the Tour (2015),82,Drama,106 min,Jason Segel/Jesse Eisenberg/Anna Chlumsky/Mamie Gummer
A Lego Brickumentary (2014),51,Documentary,93 min,Jason Bateman/Jamie Berard/Alice Finch/Bret Harris
Listen to Me Marlon (2015),87,Documentary/Biography,103 min,Marlon Brando
That Sugar Film (2014),56,Documentary,90 min,Damon Gameau/Hugh Jackman/Richard Davies/Skylar Delphinus
Fantastic Four (2015),27,Action/Adventure/Sci-Fi,100 min,Miles Teller/Kate Mara/Michael B. Jordan/Jamie Bell
Shaun the Sheep Movie (2015),81,Animation/Adventure/Comedy/Family,85 min,Justin Fletcher/John Sparkes/Omid Djalili/Richard Webber
